type,b,se
-17,-3.827605,.7366472
-16,-3.999972,.7438672
-15,-3.705202,.6989351
-14,-3.930242,.7403286
-13,-3.728849,.6971106
-12,-3.177148,.7341185
-11,-3.548453,.7265237
-10,-3.541331,.7121156
-9,-3.675177,.7308515
-8,-3.759576,.7295499
-7,-3.357212,.7299452
-6,-3.490618,.7574588
-5,-3.798986,.7522272
-4,-3.897257,.7156488
-3,-3.877536,.7423089
-2,.0038602,.3474668
-1,0,0
0,-.3565094,.3477392
1,-4.603486,.4362495
2,-10.25286,.5657017
3,-14.99432,.8664178
4,-19.98726,1.156708
5,-24.97518,1.365888
6,-35.45393,1.080602
7,-41.8877,1.239125
8,-48.01998,1.388794
9,-54.2671,1.633706
10,-60.29087,1.870766
11,-75.35149,.9471831
12,-83.02082,.9403609
13,-89.52905,.8949765
14,-98.03709,.9425505
15,-104.788,.9429789
16,-112.1415,.9181267
17,-120.8093,.9224052
18,-128.2016,.9352409
19,-134.8863,.9239292
20,-142.4707,.8876544
